,Country,Country Code,Year,PIB_(1000_US$),contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,Commodity Code,Simple Average,Weighted Average,Imports Value in 1000 USD
42,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514,7,1.38,3.78,163.642
43,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514,8,0.53,0.01,20483.294
44,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514,9,0.0,0.0,48888.252
45,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514,11,1.22,0.82,49.132
46,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514,12,0.0,0.0,182.105
47,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514,13,0.0,0.0,25.675
48,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514,15,2.0,0.0,594.756
49,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,3,0.0,0.0,383.765
50,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,6,0.0,0.0,8.781
51,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,7,0.0,0.0,11.515999999999998
52,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,8,0.0,0.0,3034.262
53,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,9,0.0,0.0,27134.943
54,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,12,0.0,0.0,10807.645
55,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,15,0.0,0.0,162.754
56,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,1,11.0,11.0,722.0
57,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,2,11.0,11.0,73.0
58,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,3,11.0,11.0,8.0
59,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,4,11.0,11.0,15.0
60,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,5,11.0,11.0,17.0
61,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,6,11.0,11.0,92.0
62,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,7,11.0,11.0,2.0
63,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,8,11.0,11.0,57.0
64,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,9,11.0,11.0,20562.0
65,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,10,11.0,11.0,15032.0
66,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,11,11.0,11.0,64.0
67,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,12,11.0,11.0,940.0
68,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,13,11.0,11.0,78.0
69,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,15,11.0,11.0,2874.0
70,China,CHN,1996,863746717.5037892,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,2,45.91,45.0,1787.987
71,China,CHN,1996,863746717.5037892,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,3,42.56,44.98,362.376
72,China,CHN,1996,863746717.5037892,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,4,52.5,53.8,4.6
73,China,CHN,1996,863746717.5037892,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,5,18.33,21.79,1923.519
74,China,CHN,1996,863746717.5037892,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,6,23.33,27.7,9.605
75,China,CHN,1996,863746717.5037892,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,8,42.0,47.86,0.133
76,China,CHN,1996,863746717.5037892,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,9,39.67,38.11,622.415
77,China,CHN,1996,863746717.5037892,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,11,41.67,54.37,17.554000000000002
78,China,CHN,1996,863746717.5037892,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,12,49.85,113.77,17424.685
79,China,CHN,1996,863746717.5037892,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,13,15.98,16.06,85.42399999999998
80,China,CHN,1996,863746717.5037892,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,14,17.0,17.0,16.352
81,China,CHN,1996,863746717.5037892,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,15,121.6,121.6,564609.844
82,Colombia,COL,1996,97160109.27780871,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,1,7.25,5.96,542.286
83,Colombia,COL,1996,97160109.27780871,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,2,20.0,20.0,56.165
84,Colombia,COL,1996,97160109.27780871,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,4,18.13,11.25,42.983
85,Colombia,COL,1996,97160109.27780871,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,5,6.67,5.0,191.161
86,Colombia,COL,1996,97160109.27780871,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,7,15.0,15.0,25.963
87,Colombia,COL,1996,97160109.27780871,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,8,15.0,15.0,77.29
88,Colombia,COL,1996,97160109.27780871,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,9,14.5,10.37,607.43
89,Colombia,COL,1996,97160109.27780871,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,10,12.5,15.0,38.095
90,Colombia,COL,1996,97160109.27780871,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,11,20.0,20.0,244.361
91,Colombia,COL,1996,97160109.27780871,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,12,8.13,5.03,4215.573
92,Colombia,COL,1996,97160109.27780871,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,13,7.5,5.05,216.323
93,Colombia,COL,1996,97160109.27780871,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,14,10.0,10.0,0.376
94,Colombia,COL,1996,97160109.27780871,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855,15,17.37,11.26,1668.092
95,Costa Rica,CRI,1996,11618286.652063001,0,0,0,0,0,0,0,0,5523.376,4908.8240000000005,5368.428,5275.892,6,19.0,19.0,0.259
96,Costa Rica,CRI,1996,11618286.652063001,0,0,0,0,0,0,0,0,5523.376,4908.8240000000005,5368.428,5275.892,7,14.0,14.0,0.19
97,Costa Rica,CRI,1996,11618286.652063001,0,0,0,0,0,0,0,0,5523.376,4908.8240000000005,5368.428,5275.892,9,9.0,9.0,53.476000000000006
98,Costa Rica,CRI,1996,11618286.652063001,0,0,0,0,0,0,0,0,5523.376,4908.8240000000005,5368.428,5275.892,11,14.0,14.0,0.053
99,Costa Rica,CRI,1996,11618286.652063001,0,0,0,0,0,0,0,0,5523.376,4908.8240000000005,5368.428,5275.892,12,5.0,5.0,373.586
100,Costa Rica,CRI,1996,11618286.652063001,0,0,0,0,0,0,0,0,5523.376,4908.8240000000005,5368.428,5275.892,13,4.33,4.01,78.887
101,Costa Rica,CRI,1996,11618286.652063001,0,0,0,0,0,0,0,0,5523.376,4908.8240000000005,5368.428,5275.892,15,9.5,5.0,171.155
102,Cyprus,CYP,1996,10011918.444165599,0,0,0,0,0,0,0,0,10651.9,10252.95,10152.48,10092.18,7,67.25,99.56,0.8640000000000001
103,Cyprus,CYP,1996,10011918.444165599,0,0,0,0,0,0,0,0,10651.9,10252.95,10152.48,10092.18,8,44.0,44.0,186.887
104,Cyprus,CYP,1996,10011918.444165599,0,0,0,0,0,0,0,0,10651.9,10252.95,10152.48,10092.18,9,45.08,4.08,5209.064
105,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.807,9539.765,1,0.0,0.0,1.439
106,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.807,9539.765,2,47.59,46.44,642.534
107,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.807,9539.765,3,0.0,0.0,16.213
108,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.807,9539.765,5,0.0,0.0,2.963
109,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.807,9539.765,7,5.86,8.55,5.136
110,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.807,9539.765,8,3.93,1.72,1652.3010000000004
111,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.807,9539.765,9,3.6,3.64,4243.552
112,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.807,9539.765,12,0.0,0.0,9.615
113,Czech Republic,CZE,1996,66985765.4391937,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.807,9539.765,13,0.21,0.19,3.755
114,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,1,9.0,9.0,1.177
115,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,3,12.5,12.5,8.142000000000001
116,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,4,20.0,20.0,0.429
117,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,5,10.0,10.0,0.882
118,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,8,15.0,15.0,0.087
119,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,9,15.0,11.32,38.678
120,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,10,0.0,0.0,181.279
121,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,11,20.0,20.0,8.809
122,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,12,4.17,3.59,351.15
123,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,13,10.0,10.81,12.688
124,Ecuador,ECU,1996,25226393.196598306,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416,15,12.78,15.49,420.565
125,Estonia,EST,1996,4780169.85303681,0,0,0,0,0,0,0,0,11266.82,10580.03,10686.63,10610.39,7,0.0,0.0,3.471
126,Estonia,EST,1996,4780169.85303681,0,0,0,0,0,0,0,0,11266.82,10580.03,10686.63,10610.39,8,0.0,0.0,238.883
127,Estonia,EST,1996,4780169.85303681,0,0,0,0,0,0,0,0,11266.82,10580.03,10686.63,10610.39,9,0.0,0.0,33.164
128,Estonia,EST,1996,4780169.85303681,0,0,0,0,0,0,0,0,11266.82,10580.03,10686.63,10610.39,12,0.0,0.0,87.165
129,Estonia,EST,1996,4780169.85303681,0,0,0,0,0,0,0,0,11266.82,10580.03,10686.63,10610.39,15,0.0,0.0,13.532
130,Indonesia,IDN,1996,227369679.37497303,0,0,0,0,0,0,0,0,15644.48,16326.22,16024.37,15994.88,6,19.09,19.09,2.351
131,Indonesia,IDN,1996,227369679.37497303,0,0,0,0,0,0,0,0,15644.48,16326.22,16024.37,15994.88,7,10.0,10.0,8.212
132,Indonesia,IDN,1996,227369679.37497303,0,0,0,0,0,0,0,0,15644.48,16326.22,16024.37,15994.88,8,30.0,30.0,229.73
133,Indonesia,IDN,1996,227369679.37497303,0,0,0,0,0,0,0,0,15644.48,16326.22,16024.37,15994.88,11,20.0,20.0,152.69899999999996
134,Indonesia,IDN,1996,227369679.37497303,0,0,0,0,0,0,0,0,15644.48,16326.22,16024.37,15994.88,12,10.0,10.0,2727.3190000000004
135,Indonesia,IDN,1996,227369679.37497303,0,0,0,0,0,0,0,0,15644.48,16326.22,16024.37,15994.88,13,10.0,10.0,303.75
136,Indonesia,IDN,1996,227369679.37497303,0,0,0,0,0,0,0,0,15644.48,16326.22,16024.37,15994.88,15,12.5,16.57,4295.305
137,India,IND,1996,392897054.34807104,0,0,0,0,0,0,0,0,14441.49,14251.55,13949.72,13908.2,13,22.0,22.0,2216.883
138,India,IND,1996,392897054.34807104,0,0,0,0,0,0,0,0,14441.49,14251.55,13949.72,13908.2,15,40.0,37.85,6221.7159999999985
139,Iceland,ISL,1996,7438183.246616541,0,0,0,0,0,0,0,0,9991.34,9169.045,9397.482,9304.897,7,30.0,30.0,1.472
140,Iceland,ISL,1996,7438183.246616541,0,0,0,0,0,0,0,0,9991.34,9169.045,9397.482,9304.897,8,0.0,0.0,340.413
141,Iceland,ISL,1996,7438183.246616541,0,0,0,0,0,0,0,0,9991.34,9169.045,9397.482,9304.897,9,0.0,0.0,815.525
142,Iceland,ISL,1996,7438183.246616541,0,0,0,0,0,0,0,0,9991.34,9169.045,9397.482,9304.897,12,0.0,0.0,16.312
143,Iceland,ISL,1996,7438183.246616541,0,0,0,0,0,0,0,0,9991.34,9169.045,9397.482,9304.897,15,0.0,0.0,17.808
144,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,1,0.0,0.0,19.388
145,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,2,14.48,8.65,258268.91
146,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,3,2.93,2.2,57517.63200000001
147,Japan,JPN,1996,4833712542.2071,0,0,0,0,0,0,0,0,18549.61,17693.2,17981.98,17931.71,4,22.3,20.84,2049.844
