Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2008,2008,2008,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,01,Live animals; animal products,1,No Quantity,,,,,,,417581893,,,0
H3,2008,2008,2008,2,0,2,Export,76,Brazil,BRA,24,Angola,AGO,,,,,,,,01,Live animals; animal products,1,No Quantity,,,,,,,9469590,,,0
H3,2008,2008,2008,2,0,2,Export,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,01,Live animals; animal products,1,No Quantity,,,,,,,3116298,,,0
H3,2008,2008,2008,2,0,2,Export,76,Brazil,BRA,40,Austria,AUT,,,,,,,,01,Live animals; animal products,1,No Quantity,,,,,,,13000,,,0
H3,2008,2008,2008,2,0,2,Export,76,Brazil,BRA,44,Bahamas,BHS,,,,,,,,01,Live animals; animal products,1,No Quantity,,,,,,,611000,,,0
H3,2008,2008,2008,2,0,2,Export,76,Brazil,BRA,56,Belgium,BEL,,,,,,,,01,Live animals; animal products,1,No Quantity,,,,,,,66765,,,0
H3,2008,2008,2008,2,0,2,Export,76,Brazil,BRA,68,Bolivia (Plurinational State of),BOL,,,,,,,,01,Live animals; animal products,1,No Quantity,,,,,,,1878848,,,0
H3,2008,2008,2008,2,0,2,Export,76,Brazil,BRA,124,Canada,CAN,,,,,,,,01,Live animals; animal products,1,No Quantity,,,,,,,26100,,,0
H3,2008,2008,2008,2,0,2,Export,76,Brazil,BRA,132,Cabo Verde,CPV,,,,,,,,01,Live animals; animal products,1,No Quantity,,,,,,,3290,,,0
H3,2008,2008,2008,2,0,2,Export,76,Brazil,BRA,152,Chile,CHL,,,,,,,,01,Live animals; animal products,1,No Quantity,,,,,,,224970,,,0
