Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,642567351,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,24,Angola,AGO,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,4839233,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,9256215,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,40,Austria,AUT,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,30000,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,44,Bahamas,BHS,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,22500,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,48,Bahrain,BHR,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,19330,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,92579,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,68,Bolivia (Plurinational State of),BOL,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,2914965,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,8000,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,152,Chile,CHL,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,2002384,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,15000,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,170,Colombia,COL,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,5760704,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,178,Congo,COG,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,1531167,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,17450,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,218,Ecuador,ECU,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,5230668,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,226,Equatorial Guinea,GNQ,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,8585,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,50000,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,143097,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,97000,,,0
H4,2012,2012,2012,2,0,2,Export,76,Brazil,BRA,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,42492,,,0
