Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,5010089,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,01,Live animals,1,No Quantity,,,,,,,344387,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,40,Austria,AUT,,,,,,,,01,Live animals,1,No Quantity,,,,,,,5500,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,56,Belgium,BEL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,15300,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,68,Bolivia (Plurinational State of),BOL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,512137,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,152,Chile,CHL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,115570,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,156,China,CHN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,5170,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,170,Colombia,COL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,495361,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,214,Dominican Rep.,DOM,,,,,,,,01,Live animals,1,No Quantity,,,,,,,100,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,251,France,FRA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,966,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,276,Germany,DEU,,,,,,,,01,Live animals,1,No Quantity,,,,,,,25819,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,288,Ghana,GHA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,39180,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,320,Guatemala,GTM,,,,,,,,01,Live animals,1,No Quantity,,,,,,,3830,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Live animals,1,No Quantity,,,,,,,5000,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,381,Italy,ITA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,2600,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,392,Japan,JPN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,25135,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,490,"Other Asia, nes",,,,,,,,,01,Live animals,1,No Quantity,,,,,,,2250,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,528,Netherlands,NLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1110,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,591,Panama,PAN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,44500,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,600,Paraguay,PRY,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1633957,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,604,Peru,PER,,,,,,,,01,Live animals,1,No Quantity,,,,,,,14500,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,682,Saudi Arabia,SAU,,,,,,,,01,Live animals,1,No Quantity,,,,,,,2000,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,686,Senegal,SEN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,19200,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,710,South Africa,ZAF,,,,,,,,01,Live animals,1,No Quantity,,,,,,,72000,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,724,Spain,ESP,,,,,,,,01,Live animals,1,No Quantity,,,,,,,27050,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,757,Switzerland,CHE,,,,,,,,01,Live animals,1,No Quantity,,,,,,,40,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,01,Live animals,1,No Quantity,,,,,,,13000,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,01,Live animals,1,No Quantity,,,,,,,3000,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,921421,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,854,Burkina Faso,BFA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,339585,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,858,Uruguay,URY,,,,,,,,01,Live animals,1,No Quantity,,,,,,,125360,,,0
H2,2002,2002,2002,2,0,2,Export,76,Brazil,BRA,862,Venezuela,VEN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,195061,,,0
H2,2003,2003,2003,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,11311616,,,0
H2,2003,2003,2003,2,0,2,Export,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1701277,,,0
H2,2003,2003,2003,2,0,2,Export,76,Brazil,BRA,56,Belgium,BEL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,9000,,,0
H2,2003,2003,2003,2,0,2,Export,76,Brazil,BRA,68,Bolivia (Plurinational State of),BOL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,857497,,,0
H2,2003,2003,2003,2,0,2,Export,76,Brazil,BRA,152,Chile,CHL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,134240,,,0
H2,2003,2003,2003,2,0,2,Export,76,Brazil,BRA,156,China,CHN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,5000,,,0
H2,2003,2003,2003,2,0,2,Export,76,Brazil,BRA,170,Colombia,COL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,394181,,,0
H2,2003,2003,2003,2,0,2,Export,76,Brazil,BRA,203,Czechia,CZE,,,,,,,,01,Live animals,1,No Quantity,,,,,,,5162,,,0
H2,2003,2003,2003,2,0,2,Export,76,Brazil,BRA,218,Ecuador,ECU,,,,,,,,01,Live animals,1,No Quantity,,,,,,,57114,,,0
H2,2003,2003,2003,2,0,2,Export,76,Brazil,BRA,251,France,FRA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,3140,,,0
H2,2003,2003,2003,2,0,2,Export,76,Brazil,BRA,276,Germany,DEU,,,,,,,,01,Live animals,1,No Quantity,,,,,,,7903,,,0
H2,2003,2003,2003,2,0,2,Export,76,Brazil,BRA,381,Italy,ITA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,23297,,,0
H2,2003,2003,2003,2,0,2,Export,76,Brazil,BRA,392,Japan,JPN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,15556,,,0
H2,2003,2003,2003,2,0,2,Export,76,Brazil,BRA,422,Lebanon,LBN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,729152,,,0
H2,2003,2003,2003,2,0,2,Export,76,Brazil,BRA,484,Mexico,MEX,,,,,,,,01,Live animals,1,No Quantity,,,,,,,216190,,,0
H2,2003,2003,2003,2,0,2,Export,76,Brazil,BRA,490,"Other Asia, nes",,,,,,,,,01,Live animals,1,No Quantity,,,,,,,12000,,,0
