Series Name,Series Code,Country Name,Country Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,57235482141.0805,61679566883.1169,60724077380.4395,57330907863.5587,66774569991.801,69203919564.6629,72286060356.887,84757339584.0104,110743537333.333,135918581909.3,159215718705.466,186198863078.424,229512905442.251,180894503551.065,240006821282.401,303021879483.501,292804259894.527,290362691897.407,270452613684.658,232489103970.663,224011751218.114,258207996490.568,276656631452.187,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/27/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
