Year,Country Code,Commodity Code,Trade Value (US$)
1996,ARG,5,7469
1996,AGO,5,60852
1996,WLD,5,67680560
1996,,4,1111
1996,VEN,4,13334968
1996,URY,4,828626
1996,USA,4,330061
1996,FRA,4,1909799
1996,ARE,4,260522
1996,PRT,4,32891
1996,PER,4,100082
1996,PRY,4,2231494
1996,NLD,4,71848
1996,,4,60384
1996,KOR,4,7199
1996,JPN,4,2118118
1996,ESP,4,42804
1996,PRT,3,1158026
1996,POL,3,1425
1996,PRY,3,109816
1996,ARG,3,2774010
1996,WLD,3,122968872
1996,,2,1457
1996,URY,2,8901188
1996,USA,2,493965
1996,GBR,2,56107880
1996,MKD,2,345206
1996,AUT,3,13336
1996,TUN,2,66156
1996,CHE,2,19542248
1996,SWE,2,1577771
1996,ESP,2,57683296
1996,ZAF,2,2177775
1996,SVN,2,120595
1996,SGP,2,31610328
1996,SLE,2,126126
1996,ARE,2,25183436
1996,BEL,3,1475826
1996,BOL,3,1733
1996,CAN,3,43813
1996,NOR,3,1051
1996,NLD,3,259770
1996,,3,3209893
1996,MYS,3,2329
1996,JPN,3,41807464
1996,ITA,3,2224753
1996,ISR,3,2399
1996,HUN,3,722
1996,HKG,3,2006470
1996,GRC,3,84490
1996,DEU,3,1378543
1996,FRA,3,2855900
1996,FIN,3,3250
1996,DNK,3,29059
1996,CZE,3,7209
1996,CHN,3,98050
1996,CHL,3,3187
1996,AUT,5,574530
1996,CPV,9,798500
1996,CHL,9,17248272
1996,MEX,12,1547836
1996,PRY,13,86752
1996,PAN,13,10793
1996,NLD,13,402219
1996,,13,75874
1996,MEX,13,153520
1996,MLT,13,45600
1996,MYS,13,4000
1996,PER,13,82734
1996,KOR,13,565613
1996,ITA,13,36796
1996,IRL,13,570
1996,IDN,13,11812
1996,GUY,13,1954
1996,GTM,13,21966
1996,DEU,13,430232
1996,FRA,13,248445
1996,JPN,13,2273114
1996,SLV,13,3525
1996,POL,13,338000
1996,SAU,13,974
1996,BOL,14,175076
1996,BEL,14,195046
1996,AGO,14,506
1996,WLD,14,1735993
1996,,13,2590
1996,VEN,13,226095
1996,URY,13,625696
1996,PRT,13,4986440
1996,USA,13,8264721
1996,ARE,13,61536
1996,TTO,13,3742
1996,CHE,13,2142
1996,SWE,13,65029
1996,ESP,13,1404411
1996,ZAF,13,733815
1996,IND,13,2332981
1996,GBR,13,5999540
1996,DNK,14,8000
1996,ECU,13,21872
1996,CUB,13,101690
1996,ESP,12,87149664
1996,ZAF,12,4173
1996,SVN,12,848
1996,SGP,12,10300
1996,PRT,12,20096188
1996,POL,12,3091550
1996,PHL,12,5409
1996,SWE,12,14640
1996,PER,12,17317
1996,PAN,12,188297
1996,NOR,12,550439
1996,NIC,12,24845
1996,NZL,12,4024
1996,ANT,12,3749368
1996,NLD,12,584142208
1996,,12,130970
1996,PRY,12,4125661
1996,DOM,13,1257
1996,CHE,12,37181
1996,TUR,12,866324
1996,CRI,13,24527
1996,COL,13,207493
1996,CHL,13,155271
1996,CAN,13,5985
1996,BOL,13,43743
1996,BEL,13,25600
1996,AUT,13,11550
1996,THA,12,2422576
1996,AUS,13,6300
1996,AGO,13,1308
1996,WLD,13,32144752
1996,,12,4047
1996,VEN,12,1680493
1996,URY,12,17084770
1996,USA,12,5729301
1996,GBR,12,25213968
1996,ARG,13,2034924
1996,FIN,14,2291
1996,DEU,14,595908
1996,NLD,14,79854
1996,PHL,15,181667
1996,PER,15,1481627
1996,PRY,15,4419606
1996,PAN,15,123793
1996,PAK,15,12389814
1996,NGA,15,69759
1996,NLD,15,43555144
1996,POL,15,3055500
1996,MOZ,15,58649
1996,,15,2590470
1996,MEX,15,6176504
1996,MYS,15,4304649
1996,MDG,15,1232500
1996,KOR,15,6377571
1996,PRK,15,129630
1996,KEN,15,145826
1996,MAR,15,14045619
1996,JPN,15,20984936
1996,PRT,15,700069
1996,SEN,15,6997241
1996,URY,15,4148881
1996,USA,15,40056612
1996,GBR,15,10640525
1996,EGY,15,2384342
1996,TUR,15,6988280
1996,TUN,15,18444624
1996,ARE,15,61729
1996,RUS,15,582190
1996,TTO,15,803371
1996,SYR,15,193309
1996,CHE,15,6809380
1996,SWE,15,459447
1996,ESP,15,3544665
1996,ZAF,15,4542395
1996,SGP,15,10757802
1996,IND,15,13025611
1996,THA,15,9975
1996,JAM,15,317423
1996,CIV,15,148100
1996,ITA,15,2625293
1996,BOL,15,910924
1996,BEL,15,3484985
1996,BGD,15,38017440
1996,AUS,15,154985
1996,ARG,15,11430101
1996,AGO,15,224702
1996,AFG,15,96399
1996,VGB,15,2152379
