,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Country,Country Code,Year,PIB_(1000_US$),contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,Commodity Code,Simple Average,Weighted Average,Imports Value in 1000 USD,Exp,ln_PIB,ln_Import,ln_distw,ln_Tariff
24,24,24,24,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,1,9.5,9.86,345.24800000000016,BRA,15.816580562985227,5.84426299936893,7.778588287931509,2.288486168614544
25,25,25,25,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,2,10.0,10.0,5.078,BRA,15.816580562985227,1.6249174832824866,7.778588287931509,2.302585092994046
26,26,26,26,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,3,10.0,10.0,1.345,BRA,15.816580562985227,0.2963940130538024,7.778588287931509,2.302585092994046
27,27,27,27,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,4,10.0,10.0,19.243,BRA,15.816580562985227,2.957147358238422,7.778588287931509,2.302585092994046
28,28,28,28,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,5,10.0,10.0,4.7410000000000005,BRA,15.816580562985227,1.5562480839199815,7.778588287931509,2.302585092994046
29,29,29,29,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,6,10.0,10.0,254.833,BRA,15.816580562985227,5.540608428655679,7.778588287931509,2.302585092994046
30,30,30,30,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,9,10.0,10.0,14.163,BRA,15.816580562985227,2.6506329302322595,7.778588287931509,2.302585092994046
31,31,31,31,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,10,10.0,10.0,889.008,BRA,15.816580562985227,6.790106234348555,7.778588287931509,2.302585092994046
32,32,32,32,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,11,10.0,10.0,318.711,BRA,15.816580562985227,5.764284736045727,7.778588287931509,2.302585092994046
33,33,33,33,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,12,10.0,10.0,39.87,BRA,15.816580562985227,3.6856241613932634,7.778588287931509,2.302585092994046
34,34,34,34,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,13,10.0,10.0,20.631999999999998,BRA,15.816580562985227,3.0268432685790434,7.778588287931509,2.302585092994046
35,35,35,35,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,14,10.0,10.0,134.817,BRA,15.816580562985227,4.903918303286305,7.778588287931509,2.302585092994046
36,36,36,36,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,15,10.0,10.0,100.209,BRA,15.816580562985227,4.607258004976439,7.778588287931509,2.302585092994046
37,37,37,37,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,1,0.0,0.0,127.116,BRA,20.258920390704724,4.8451000554023596,9.042949121388064,-inf
38,38,38,38,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,3,0.69,0.17,381.287,BRA,20.258920390704724,5.943552372392982,9.042949121388064,-1.7719568419318752
39,39,39,39,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,4,11.0,11.0,0.11599999999999999,BRA,20.258920390704724,-2.1541650878757723,9.042949121388064,2.3978952727983707
40,40,40,40,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,5,0.0,0.0,120.08200000000001,BRA,20.258920390704724,4.788174842749462,9.042949121388064,-inf
41,41,41,41,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,6,3.54,3.57,84.27799999999998,BRA,20.258920390704724,4.434120858232015,9.042949121388064,1.2725655957915476
42,42,42,42,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,7,1.38,3.78,163.642,BRA,20.258920390704724,5.097681114937133,9.042949121388064,1.3297240096314962
43,43,43,43,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,8,0.53,0.01,20483.293999999998,BRA,20.258920390704724,9.927364906063852,9.042949121388064,-4.605170185988091
44,44,44,44,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,9,0.0,0.0,48888.252,BRA,20.258920390704724,10.797292401200641,9.042949121388064,-inf
45,45,45,45,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,11,1.22,0.82,49.132,BRA,20.258920390704724,3.894510553676848,9.042949121388064,-0.19845093872383832
46,46,46,46,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,12,0.0,0.0,182.105,BRA,20.258920390704724,5.20458344379758,9.042949121388064,-inf
47,47,47,47,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,13,0.0,0.0,25.675,BRA,20.258920390704724,3.245517755814622,9.042949121388064,-inf
48,48,48,48,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,15,2.0,0.0,594.756,BRA,20.258920390704724,6.388151237404564,9.042949121388064,-inf
49,49,49,49,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,3,0.0,0.0,383.765,BRA,19.614880216323012,5.950030386085376,9.101590675082026,-inf
50,50,50,50,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,6,0.0,0.0,8.781,BRA,19.614880216323012,2.1725902963778587,9.101590675082026,-inf
51,51,51,51,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,7,0.0,0.0,11.515999999999998,BRA,19.614880216323012,2.443737372749929,9.101590675082026,-inf
52,52,52,52,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,8,0.0,0.0,3034.262,BRA,19.614880216323012,8.01772351082746,9.101590675082026,-inf
53,53,53,53,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,9,0.0,0.0,27134.943,BRA,19.614880216323012,10.208577585887229,9.101590675082026,-inf
54,54,54,54,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,12,0.0,0.0,10807.645,BRA,19.614880216323012,9.288009033060622,9.101590675082026,-inf
55,55,55,55,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,15,0.0,0.0,162.754,BRA,19.614880216323012,5.09223985835962,9.101590675082026,-inf
56,56,56,56,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,1,11.0,11.0,722.0,BRA,18.17272659217677,6.582025138892826,8.06968659550806,2.3978952727983707
57,57,57,57,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,2,11.0,11.0,73.0,BRA,18.17272659217677,4.290459441148391,8.06968659550806,2.3978952727983707
58,58,58,58,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,3,11.0,11.0,8.0,BRA,18.17272659217677,2.0794415416798357,8.06968659550806,2.3978952727983707
59,59,59,59,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,4,11.0,11.0,15.0,BRA,18.17272659217677,2.70805020110221,8.06968659550806,2.3978952727983707
60,60,60,60,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,5,11.0,11.0,17.0,BRA,18.17272659217677,2.833213344056216,8.06968659550806,2.3978952727983707
61,61,61,61,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,6,11.0,11.0,92.0,BRA,18.17272659217677,4.5217885770490405,8.06968659550806,2.3978952727983707
62,62,62,62,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,7,11.0,11.0,2.0,BRA,18.17272659217677,0.6931471805599453,8.06968659550806,2.3978952727983707
63,63,63,63,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,8,11.0,11.0,57.0,BRA,18.17272659217677,4.04305126783455,8.06968659550806,2.3978952727983707
64,64,64,64,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,9,11.0,11.0,20562.0,BRA,18.17272659217677,9.931199991102664,8.06968659550806,2.3978952727983707
65,65,65,65,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,10,11.0,11.0,15032.0,BRA,18.17272659217677,9.617936541093302,8.06968659550806,2.3978952727983707
66,66,66,66,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,11,11.0,11.0,64.0,BRA,18.17272659217677,4.1588830833596715,8.06968659550806,2.3978952727983707
67,67,67,67,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,12,11.0,11.0,940.0,BRA,18.17272659217677,6.84587987526405,8.06968659550806,2.3978952727983707
68,68,68,68,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,13,11.0,11.0,78.0,BRA,18.17272659217677,4.356708826689592,8.06968659550806,2.3978952727983707
69,69,69,69,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,15,11.0,11.0,2874.0,BRA,18.17272659217677,7.96346006663897,8.06968659550806,2.3978952727983707
70,70,70,70,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,2,45.91,45.0,1787.987,BRA,20.576790132753885,7.488845685013516,9.754742734671906,3.8066624897703196
71,71,71,71,China,CHN,1996,863746717.5037893,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31,3,42.56,44.98,362.376,BRA,20.576790132753885,5.892682346810278,9.754742734671906,3.8062179465311696
