,Country,Country Code,Year,PIB_(1000_US$),contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,Commodity Code,Simple Average,Weighted Average,Imports Value in 1000 USD,Exp,ln_PIB,ln_Import,ln_distw,ln_Tariff,Animal health,Consumer information,Cost saving,Food safety,Harmonization,Labelling,Lower barriers to trade,National security requirements,Not specified,Other,Plant protection,Prevention of deceptive practices and consumer protection,Protect humans from animal/plant pest or disease,Protect territory from other damage from pests,Protection of Human health or Safety,Protection of animal or plant life or health,Protection of the environment,Quality requirements
13,Argentina,ARG,1996,272149750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.067,2353.257,2391.846,2089.281,14,0.0,0.0,4.753,BRA,19.421863024233,1.5587759976318725,7.779820731727058,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Argentina,ARG,1996,272149750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.067,2353.257,2391.846,2089.281,15,0.0,0.0,11829.665,BRA,19.421863024233,9.378365638735463,7.779820731727058,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Australia,AUS,1996,400302731.411229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13371.76,14070.8,14046.75,13983.36,3,0.0,0.0,123.699,BRA,19.80773164735004,4.817851195291392,9.550146331278073,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Australia,AUS,1996,400302731.411229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13371.76,14070.8,14046.75,13983.36,6,0.0,0.0,36.999,BRA,19.80773164735004,3.6108908852519614,9.550146331278073,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Australia,AUS,1996,400302731.411229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13371.76,14070.8,14046.75,13983.36,8,0.0,0.0,1647.629,BRA,19.80773164735004,7.407092563766577,9.550146331278073,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Australia,AUS,1996,400302731.411229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13371.76,14070.8,14046.75,13983.36,9,0.0,0.0,9704.558,BRA,19.80773164735004,9.180350951031713,9.550146331278073,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Australia,AUS,1996,400302731.411229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13371.76,14070.8,14046.75,13983.36,10,0.0,0.0,657.347,BRA,19.80773164735004,6.488212037353391,9.550146331278073,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Australia,AUS,1996,400302731.411229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13371.76,14070.8,14046.75,13983.36,11,2.0,0.28,8.345,BRA,19.80773164735004,2.1216625571137984,9.550146331278073,-1.272965675812887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Australia,AUS,1996,400302731.411229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13371.76,14070.8,14046.75,13983.36,12,0.0,0.0,198.042,BRA,19.80773164735004,5.288479129412133,9.550146331278073,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Australia,AUS,1996,400302731.411229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13371.76,14070.8,14046.75,13983.36,13,1.0,1.74,25.739,BRA,19.80773164735004,3.2480073513744485,9.550146331278073,0.5538851132264376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
