Year,Country Code,PIB
1996 ,TGO,1465448290.34132
1996 ,TON,219583570.094975
1996 ,TTO,5759537726.26601
1996 ,TUN,19587322786.1105
1996 ,TUR,181475555282.555
1996 ,TKM,2378759975.44506
1996 ,TUV,12334846.2320995
1996 ,UGA,6044585326.938
1996 ,UKR,44558077827.135
1996 ,ARE,73571233996.1863
1996 ,GBR,1415358814352.57
1996 ,USA,8073122000000
1996 ,URY,20515543039.2132
1996 ,UZB,13948892215.5689
1996 ,VUT,245177633.168933
1996 ,VEN,70543211119.099
1996 ,VNM,24657470574.7501
1996 ,PSE,3409600000
1996 ,YEM,5785685310.86668
1996 ,ZMB,3597220962.00017
1996 ,ZWE,8553146600
1996 ,ARB,578295690139.621
1996 ,CSS,24020648583.6921
1996 ,CEB,414969246058.216
1996 ,EAR,2716405511939.98
1996 ,EAS,7992138510789.23
1996 ,EAP,1509586821352.48
1996 ,TEA,1506474710976.48
1996 ,EMU,7605287653835.11
1996 ,ECS,11075886540129.1
1996 ,ECA,766131480947.029
1996 ,TEC,949692776495.988
1996 ,EUU,9844454096607.76
1996 ,HPC,137978692785.654
1996 ,HIC,26075938769767.5
1996 ,IBD,5343702286255.49
1996 ,IBT,5734398528967
1996 ,IDB,174905097306.541
1996 ,IDX,214514221837.411
1996 ,IDA,391164754261.761
1996 ,LTE,3326640414542.28
1996 ,LCN,2078449836534.74
1996 ,LAC,1902761231699.3
1996 ,TLA,1992896686727.12
1996 ,LDC,171850256855.229
1996 ,LMY,5467628486443.09
1996 ,LIC,102049017269.596
1996 ,LMC,1217587133330.11
1996 ,MEA,802343414498.528
1996 ,MNA,395259954275.768
1996 ,TMN,391832763469.929
1996 ,MIC,5365354885363.12
1996 ,NAC,8704363777972.13
1996 ,OED,25643499474808
1996 ,OSS,73635004539.8395
1996 ,PSS,4000158005.33388
1996 ,PST,24973859084505
1996 ,PRE,191749031891.292
1996 ,SST,101552850575.855
1996 ,SAS,525019325135.923
1996 ,TSA,525019325135.923
1996 ,SSF,368119579002.42
1996 ,SSA,367613942568.99
1996 ,TSS,368119579002.421
1996 ,UMC,4148093950998.69
1996 ,WLD,31554611848953.7
1997 ,ALB,2258515610.08862
1997 ,DZA,48177862501.9495
1997 ,AND,1180597272.72727
1997 ,AGO,7648377412.83277
1997 ,ATG,680617111.111111
1997 ,ARG,292859000000
1997 ,ARM,1639492424.36472
1997 ,ABW,1531944134.07821
1997 ,AUS,434568007512.913
1997 ,AUT,212790348404.555
1997 ,AZE,3962735257.21455
1997 ,BHS,6332360000
1997 ,BHR,6349202393.61702
1997 ,BGD,48244309133.4895
1997 ,BRB,2549296474.91672
1997 ,BLR,14128408565.7064
1997 ,BEL,252708051420.839
1997 ,BLZ,654314350
1997 ,BEN,2268301537.65128
1997 ,BMU,2932827000
1997 ,BTN,365964500.137703
1997 ,BOL,7925673448.41368
1997 ,BIH,3671816504.23851
1997 ,BWA,5020214747.45261
1997 ,BRA,883199625324.675
1997 ,BRN,5197332974.13793
1997 ,BGR,11211546465.3071
1997 ,BFA,2447669403.89018
1997 ,BDI,972896267.915425
